,month,carrier_id,carrier_name,total_fuel_cost,year
669,3,NK,Spirit Air Lines,48110328.0,2011
670,3,UA,United Air Lines Inc.,854589487.0,2011
671,3,WN,Southwest Airlines Co.,517957173.0,2011
672,4,AA,American Airlines Inc.,617258502.0,2011
673,4,AS,Alaska Airlines Inc.,107406085.0,2011
674,4,B6,JetBlue Airways,158421650.0,2011
675,4,DL,Delta Air Lines Inc.,801966528.0,2011
676,4,NK,Spirit Air Lines,46361748.0,2011
677,4,UA,United Air Lines Inc.,787152648.0,2011
678,4,WN,Southwest Airlines Co.,464101809.0,2011
679,5,AA,American Airlines Inc.,601287642.0,2011
680,5,AS,Alaska Airlines Inc.,103480772.0,2011
681,5,B6,JetBlue Airways,149271138.0,2011
682,5,DL,Delta Air Lines Inc.,792397737.0,2011
683,5,NK,Spirit Air Lines,44505773.0,2011
684,5,UA,United Air Lines Inc.,788648855.0,2011
685,5,WN,Southwest Airlines Co.,481047303.0,2011
686,6,AA,American Airlines Inc.,606567564.0,2011
687,6,AS,Alaska Airlines Inc.,109109823.0,2011
688,6,B6,JetBlue Airways,157260179.0,2011
689,6,DL,Delta Air Lines Inc.,876541863.0,2011
690,6,NK,Spirit Air Lines,44384813.0,2011
691,6,UA,United Air Lines Inc.,804102435.0,2011
692,6,WN,Southwest Airlines Co.,468011089.0,2011
693,7,AA,American Airlines Inc.,628251208.0,2011
694,7,AS,Alaska Airlines Inc.,118181937.0,2011
695,7,B6,JetBlue Airways,175877509.0,2011
696,7,DL,Delta Air Lines Inc.,907796355.0,2011
697,7,NK,Spirit Air Lines,48894363.0,2011
698,7,UA,United Air Lines Inc.,859889814.0,2011
699,7,WN,Southwest Airlines Co.,489198438.0,2011
700,8,AA,American Airlines Inc.,662343409.0,2011
701,8,AS,Alaska Airlines Inc.,119947968.0,2011
702,8,B6,JetBlue Airways,179456726.0,2011
703,8,DL,Delta Air Lines Inc.,895892170.0,2011
704,8,NK,Spirit Air Lines,49108900.0,2011
705,8,UA,United Air Lines Inc.,876950965.0,2011
706,8,WN,Southwest Airlines Co.,468986368.0,2011
707,9,AA,American Airlines Inc.,604074436.0,2011
708,9,AS,Alaska Airlines Inc.,105567240.0,2011
709,9,B6,JetBlue Airways,145534014.0,2011
710,9,DL,Delta Air Lines Inc.,773212002.0,2011
711,9,NK,Spirit Air Lines,46982672.0,2011
712,9,UA,United Air Lines Inc.,805554578.0,2011
713,9,WN,Southwest Airlines Co.,436324202.0,2011
714,10,AA,American Airlines Inc.,617588683.0,2011
715,10,AS,Alaska Airlines Inc.,103299216.0,2011
716,10,B6,JetBlue Airways,145918708.0,2011
717,10,DL,Delta Air Lines Inc.,792986986.0,2011
718,10,NK,Spirit Air Lines,43855040.0,2011
719,10,UA,United Air Lines Inc.,805727280.0,2011
720,10,WN,Southwest Airlines Co.,445566144.0,2011
721,11,AA,American Airlines Inc.,569587553.0,2011
722,11,AS,Alaska Airlines Inc.,103682480.0,2011
723,11,B6,JetBlue Airways,147226860.0,2011
724,11,DL,Delta Air Lines Inc.,739827001.0,2011
725,11,NK,Spirit Air Lines,45765538.0,2011
726,11,UA,United Air Lines Inc.,735758070.0,2011
727,11,WN,Southwest Airlines Co.,418983683.0,2011
728,12,AA,American Airlines Inc.,627736547.0,2011
729,12,AS,Alaska Airlines Inc.,111597005.0,2011
730,12,B6,JetBlue Airways,172684310.0,2011
731,12,DL,Delta Air Lines Inc.,781123986.0,2011
732,12,NK,Spirit Air Lines,50222533.0,2011
733,12,UA,United Air Lines Inc.,774059146.0,2011
734,12,WN,Southwest Airlines Co.,449341732.0,2011
315,1,AA,American Airlines Inc.,317344085.0,2012
316,1,AS,Alaska Airlines Inc.,47152571.0,2012
317,1,B6,JetBlue Airways,70537499.0,2012
318,1,DL,Delta Air Lines Inc.,354719002.0,2012
319,1,NK,Spirit Air Lines,29253557.0,2012
320,1,UA,United Air Lines Inc.,277726020.0,2012
321,1,WN,Southwest Airlines Co.,277711435.0,2012
322,2,AA,American Airlines Inc.,281410386.0,2012
323,2,AS,Alaska Airlines Inc.,42171313.0,2012
324,2,B6,JetBlue Airways,66340295.0,2012
325,2,DL,Delta Air Lines Inc.,328807596.0,2012
326,2,NK,Spirit Air Lines,25893176.0,2012
327,2,UA,United Air Lines Inc.,242219657.0,2012
328,2,WN,Southwest Airlines Co.,253104358.0,2012
329,3,AA,American Airlines Inc.,340587052.0,2012
330,3,AS,Alaska Airlines Inc.,50345955.0,2012
331,3,B6,JetBlue Airways,77936475.0,2012
332,3,DL,Delta Air Lines Inc.,388472770.0,2012
333,3,NK,Spirit Air Lines,30833796.0,2012
334,3,UA,United Air Lines Inc.,297964996.0,2012
335,3,WN,Southwest Airlines Co.,283892879.0,2012
336,4,AA,American Airlines Inc.,350930021.0,2012
